"tract","Name","Employment_Rate_rP_gP_pall"
25017332400,"Burlington, MA",0.8165
25017341300,"Malden, MA",0.8163
25009266300,"Amesbury, MA",0.816
25017339100,"Medford, MA",0.8159
25017331300,"Wilmington, MA",0.8159
25017336100,"Melrose, MA",0.8158
25017315402,"Tewksbury, MA",0.8158
25009204500,"Salem, MA",0.8157
25009268400,"Newburyport, MA",0.8155
25009252101,"Methuen, MA",0.8152
25017356100,"Arlington, MA",0.815
25017369100,"Warrendale, Waltham, MA",0.8148
25017342600,"Everett, MA",0.8139
25009261101,"Haverhill, MA",0.8138
25017356602,"Arlington, MA",0.8138
25017337101,"Stoneham, MA",0.8137
25009205100,"Lynn, MA",0.8136
25017351204,"Ward Two, Somerville, MA",0.8136
25017317102,"Chelmsford, MA",0.8134
25017310602,"Pawtucketville, Lowell, MA",0.8134
33015063001,"Seabrook, NH",0.8134
25017339900,"Medford, MA",0.813
25009211100,"Danvers, MA",0.8129
25009252501,"Methuen, MA",0.8127
25017334100,"Reading, MA",0.8124
25009220102,"Rockport, MA",0.8124
25025160400,"Chelsea, MA",0.8123
25017312300,"South Lowell, Lowell, MA",0.8122
25009205800,"Lynn, MA",0.812
25017337201,"Stoneham, MA",0.8117
25009265101,"Georgetown, MA",0.8112
25017341700,"Malden, MA",0.8111
25009214100,"Topsfield, Topsfield, MA",0.811
25009263100,"West Newbury, MA",0.8107
33015003901,"Londonderry, Londonderry, NH",0.8106
25017355000,"North Cambridge, Cambridge, MA",0.8105
33015100301,"Salem, NH",0.8103
25009260500,"Haverhill, MA",0.8102
25017350200,"Winter Hill, Somerville, MA",0.8102
25017357300,"Belmont, MA",0.8099
25009204101,"Salem, MA",0.8098
25009210200,"Peabody, MA",0.8093
25009204300,"The Point, Salem, MA",0.8092
25017312100,"South Lowell, Lowell, MA",0.8092
25017350500,"Tufts, Somerville, MA",0.8091
25017335301,"Wakefield, MA",0.8091
25017359100,"Bedford, MA",0.8091
25017317203,"Chelmsford, MA",0.8089
25009205200,"Lynn, MA",0.8088
25017351404,"East Somerville, Somerville, MA",0.8088
