"tract","Name","Frac._in_Top_20%_Based_on_Household_Income_rP_gP_pall"
25009205400,"Lynn, MA",0.3474
25017333501,"Woburn, MA",0.3474
25017340100,"Medford, MA",0.3471
33015003902,"Londonderry, Londonderry, NH",0.3471
25017316500,"North Billerica, Billerica, MA",0.347
25017356500,"Arlington, MA",0.3465
25009208300,"Saugus, MA",0.3459
25009252601,"Methuen, MA",0.3442
25009217500,"Beverly, MA",0.3435
25017354500,"Neighborhood Nine, Cambridge, MA",0.3424
25017331200,"Wilmington, MA",0.3409
25017353600,"Agassiz, Cambridge, MA",0.3405
25009222100,"Essex, Essex, MA",0.3382
25017337300,"Stoneham, MA",0.3378
25017354400,"West Cambridge, Cambridge, MA",0.3371
25009252202,"Methuen, MA",0.337
25009204102,"Salem, MA",0.3366
25017316400,"North Billerica, Billerica, MA",0.3352
25017341102,"Malden, MA",0.3349
25017357300,"Belmont, MA",0.3348
25009211401,"Danvers, MA",0.3335
25009210500,"South Peabody, Peabody, MA",0.3322
25017315403,"South Tewksbury, Tewksbury, MA",0.3318
25025180200,"Winthrop, MA",0.3312
25009252201,"Methuen, MA",0.3293
33015100301,"Salem, NH",0.3292
25017310601,"Pawtucketville, Lowell, MA",0.3271
25009221300,"Gloucester, MA",0.3262
25009223200,"Ipswich, Ipswich, MA",0.3256
25009204600,"Salem, MA",0.3255
25017340000,"Medford, MA",0.3251
25009210400,"Peabody, MA",0.325
33015100400,"Salem, NH",0.3245
25009211100,"Danvers, MA",0.322
33015100100,"Salem, NH",0.3216
25017341300,"Malden, MA",0.3177
25017333400,"Woburn, MA",0.3174
25009268400,"Newburyport, MA",0.317
25017314302,"Dracut, MA",0.3168
25017341101,"Malden, MA",0.3163
25009217201,"Beverly, MA",0.3161
25017338200,"Winchester, MA",0.3153
25017314102,"Dracut, MA",0.313
25017339801,"Medford, MA",0.3129
33015101100,"Plaistow, NH",0.3125
25017341400,"Malden, MA",0.3121
25017341200,"Malden, MA",0.312
25009210600,"South Peabody, Peabody, MA",0.3115
25009265101,"Georgetown, MA",0.3114
25025170100,"Revere, MA",0.3089
25009221100,"Gloucester, MA",0.3088
25009269100,"Newbury, MA",0.3087
25009220101,"Rockport, Rockport, MA",0.3082
25017310602,"Pawtucketville, Lowell, MA",0.3079
25009208101,"Saugus, MA",0.3074
25009210900,"Peabody, MA",0.3056
25017315500,"Tewksbury, MA",0.3054
25017312300,"South Lowell, Lowell, MA",0.3048
25025170300,"Revere, MA",0.3027
25017314200,"Dracut, MA",0.3021
25009205300,"Lynn, MA",0.3014
33015100200,"Salem, NH",0.3013
25017314101,"Dracut, MA",0.301
25017316300,"Billerica, MA",0.3009
25017341600,"Malden, MA",0.3007
25017333600,"Woburn, MA",0.3004
33015062500,"Kensington, NH",0.2996
25009262100,"Merrimac, MA",0.2993
25017339900,"Medford, MA",0.2984
25009221901,"Gloucester, MA",0.2982
25009211200,"Danvers, MA",0.2979
25017339600,"South Medford, Medford, MA",0.2943
25017311600,"Highlands, Lowell, MA",0.2941
25009208102,"Saugus, MA",0.2938
25025170200,"Revere, MA",0.2936
25017350600,"Tufts, Somerville, MA",0.2933
33011200200,"Pelham, NH",0.2912
25017350400,"Powder House Square, Somerville, MA",0.291
25017356300,"Arlington, MA",0.2908
25009205100,"Lynn, MA",0.288
25025180101,"Winthrop, MA",0.2876
25009260302,"Haverhill, MA",0.2866
25009204701,"Salem, MA",0.2861
25009268300,"Newburyport, MA",0.2857
25009260402,"Haverhill, MA",0.2844
25017354700,"North Cambridge, Cambridge, MA",0.2842
33015003901,"Londonderry, Londonderry, NH",0.2837
25009260500,"Haverhill, MA",0.2836
25009266400,"Amesbury, MA",0.2836
25009208200,"Saugus, MA",0.2833
25009220102,"Rockport, MA",0.2807
33015003703,"Londonderry, NH",0.2768
25009266100,"Amesbury, MA",0.2752
25009261102,"Haverhill, MA",0.2722
25017351100,"Spring Hill, Somerville, MA",0.2713
25009266200,"Amesbury, MA",0.2707
25017342101,"Everett, MA",0.2705
25017341700,"Malden, MA",0.2703
