"tract","Name","Frac._in_Top_20%_Based_on_Indiv_Income_rP_gP_pall"
25017333400,"Woburn, MA",0.3274
25009212100,"Middleton, MA",0.3269
25017316202,"Pinehurst, Billerica, MA",0.3265
25009204102,"Salem, MA",0.3263
33015003902,"Londonderry, Londonderry, NH",0.3255
25009210600,"South Peabody, Peabody, MA",0.3251
25017337300,"Stoneham, MA",0.3234
25017331200,"Wilmington, MA",0.3232
25009252601,"Methuen, MA",0.3231
25009252502,"Methuen, MA",0.3221
25009217500,"Beverly, MA",0.3217
25017341102,"Malden, MA",0.3211
25009253100,"North Andover, MA",0.3207
25009264100,"Groveland, MA",0.3205
25017315403,"South Tewksbury, Tewksbury, MA",0.3204
25017354400,"West Cambridge, Cambridge, MA",0.3196
25009252501,"Methuen, MA",0.3193
25009210400,"Peabody, MA",0.3188
25017338200,"Winchester, MA",0.3184
25009221800,"Gloucester, MA",0.3174
25009211401,"Danvers, MA",0.3174
25009205300,"Lynn, MA",0.317
25009202101,"Swampscott, MA",0.3165
25017351100,"Spring Hill, Somerville, MA",0.3162
25025180200,"Winthrop, MA",0.3162
25009210500,"South Peabody, Peabody, MA",0.3149
33015100301,"Salem, NH",0.3143
25025040600,"Charlestown, Boston, MA",0.3142
25009208300,"Saugus, MA",0.3138
33011200200,"Pelham, NH",0.3134
25009223200,"Ipswich, Ipswich, MA",0.3089
25009252201,"Methuen, MA",0.3089
25017339600,"South Medford, Medford, MA",0.3089
25009208101,"Saugus, MA",0.3083
25009265101,"Georgetown, MA",0.3063
25017339801,"Medford, MA",0.3063
33015100400,"Salem, NH",0.3062
25017336401,"Melrose, MA",0.3058
25017342101,"Everett, MA",0.3058
33011200300,"Pelham, NH",0.3051
25009261101,"Haverhill, MA",0.3042
25017316400,"North Billerica, Billerica, MA",0.3037
25009221300,"Gloucester, MA",0.3035
25025170300,"Revere, MA",0.3035
25009205700,"Lynn, MA",0.3021
25017310601,"Pawtucketville, Lowell, MA",0.302
25017355000,"North Cambridge, Cambridge, MA",0.302
33015100302,"Salem, NH",0.3011
33015104101,"East Hampstead, Hampstead, NH",0.3007
25017356701,"Arlington, MA",0.3004
25017341200,"Malden, MA",0.2998
25009208200,"Saugus, MA",0.2996
25017335301,"Wakefield, MA",0.2992
25017341902,"Malden, MA",0.298
25009208102,"Saugus, MA",0.2977
25009220101,"Rockport, Rockport, MA",0.2965
25009205100,"Lynn, MA",0.2959
25017342201,"Everett, MA",0.2957
25017353600,"Agassiz, Cambridge, MA",0.2956
25025180101,"Winthrop, MA",0.2954
25017356300,"Arlington, MA",0.2953
25009269100,"Newbury, MA",0.2953
25017350400,"Powder House Square, Somerville, MA",0.2953
25009268400,"Newburyport, MA",0.2952
33015100100,"Salem, NH",0.2949
25009211200,"Danvers, MA",0.2946
25009266400,"Amesbury, MA",0.2939
25017315500,"Tewksbury, MA",0.2928
25017341500,"Malden, MA",0.2928
25017350800,"Teele Square, Somerville, MA",0.2924
25009217201,"Beverly, MA",0.291
25017341400,"Malden, MA",0.2907
33015062500,"Kensington, NH",0.2892
25017341600,"Malden, MA",0.287
25017341901,"Malden, MA",0.2868
25009268300,"Newburyport, MA",0.2863
25009220102,"Rockport, MA",0.2861
25017354600,"Neighborhood Nine, Cambridge, MA",0.2854
33015003901,"Londonderry, Londonderry, NH",0.2849
25017314200,"Dracut, MA",0.2847
25017342102,"Everett, MA",0.2847
25017341700,"Malden, MA",0.2844
25017311600,"Highlands, Lowell, MA",0.2841
25009210900,"Peabody, MA",0.2838
25017314102,"Dracut, MA",0.2832
25009260402,"Haverhill, MA",0.2831
25009270100,"Rowley, MA",0.2786
25017339900,"Medford, MA",0.2781
25009211100,"Danvers, MA",0.2769
33015100200,"Salem, NH",0.276
25017350103,"Ten Hills, Somerville, MA",0.2754
25017340000,"Medford, MA",0.2737
25017310602,"Pawtucketville, Lowell, MA",0.273
25017339300,"West Medford, Medford, MA",0.2718
25017350900,"Davis Square, Somerville, MA",0.2697
25017351000,"Spring Hill, Somerville, MA",0.2697
25009221901,"Gloucester, MA",0.2696
25017342600,"Everett, MA",0.2682
25009204600,"Salem, MA",0.2676
25017315401,"Tewksbury, MA",0.2664
25025170502,"Revere, MA",0.2656
33015101100,"Plaistow, NH",0.2646
25017342202,"Everett, MA",0.2644
25017354500,"Neighborhood Nine, Cambridge, MA",0.2639
25009221700,"Gloucester, MA",0.2635
25025170200,"Revere, MA",0.263
25009261102,"Haverhill, MA",0.2627
25017354300,"Strawberry Hill, Cambridge, MA",0.2623
25017310500,"Pawtucketville, Lowell, MA",0.2621
25009266100,"Amesbury, MA",0.2599
25017350200,"Winter Hill, Somerville, MA",0.2598
25017310200,"Centralville, Lowell, MA",0.2581
25017368300,"Banks Square, Waltham, MA",0.2573
25017312300,"South Lowell, Lowell, MA",0.2551
25017351204,"Ward Two, Somerville, MA",0.2549
25009204701,"Salem, MA",0.2547
25009262100,"Merrimac, MA",0.2545
25009204101,"Salem, MA",0.2527
25025170400,"Revere, MA",0.2523
25025170701,"Revere, MA",0.2513
25017341800,"Malden, MA",0.25
25009260500,"Haverhill, MA",0.2498
25009221100,"Gloucester, MA",0.2493
25017360100,"Hanscom Air Force Base, MA",0.248
33015003703,"Londonderry, NH",0.2465
25009251800,"Lawrence, MA",0.2461
25009260301,"Haverhill, MA",0.2442
25025170800,"Revere, MA",0.243
25017314101,"Dracut, MA",0.2426
25025160602,"Chelsea, MA",0.2424
33015003601,"Derry, Derry, NH",0.2422
25017339802,"Medford, MA",0.2421
25025051101,"East Boston, Boston, MA",0.2418
25017311400,"Highlands, Lowell, MA",0.2409
25017342300,"Everett, MA",0.2397
25017351403,"East Somerville, Somerville, MA",0.2391
25009204400,"Salem, MA",0.2379
25017342400,"Everett, MA",0.237
25017333300,"Woburn, MA",0.2355
25025170601,"Revere, MA",0.2324
33015063001,"Seabrook, NH",0.2321
25009266200,"Amesbury, MA",0.2307
25009252300,"Methuen, MA",0.2302
25009266300,"Amesbury, MA",0.2301
25025160300,"Chelsea, MA",0.2274
25009210800,"Peabody, MA",0.2273
25025170702,"Revere, MA",0.2263
25017354700,"North Cambridge, Cambridge, MA",0.2263
25009221902,"Gloucester, MA",0.2258
25017311500,"Highlands, Lowell, MA",0.2249
25017350700,"West Somerville, Somerville, MA",0.2246
25025170501,"Revere, MA",0.2224
25009260900,"Haverhill, MA",0.2224
25009204200,"Salem, MA",0.2224
25017350300,"Magoun Square, Somerville, MA",0.2221
25017342500,"Everett, MA",0.2214
33015105100,"Kingston, NH",0.2199
25009204500,"Salem, MA",0.2197
25009206400,"Lynn, MA",0.2192
25009252101,"Methuen, MA",0.219
33015102100,"Newton, NH",0.2134
25017350104,"Somerville, MA",0.2128
25009217300,"Beverly, MA",0.2122
25017351300,"Prospect Hill, Somerville, MA",0.2114
25017351404,"East Somerville, Somerville, MA",0.2108
25009205500,"Lynn, MA",0.2101
25009252400,"Methuen, MA",0.2098
25017312200,"South Lowell, Lowell, MA",0.2071
25009260700,"Haverhill, MA",0.2048
25009205200,"Lynn, MA",0.2044
25025051000,"East Boston, Boston, MA",0.2042
25009210700,"Peabody, MA",0.2027
25025160502,"Chelsea, MA",0.2002
25017354900,"North Cambridge, Cambridge, MA",0.1985
25025160400,"Chelsea, MA",0.1976
25009205600,"Lynn, MA",0.1972
25009206700,"Lynn, MA",0.195
25017310700,"The Acre, Lowell, MA",0.1915
25009267102,"Salisbury, MA",0.191
33015003400,"Derry, Derry, NH",0.1907
25017388300,"The Acre, Lowell, MA",0.1883
25017311900,"Back Central, Lowell, MA",0.182
25009217400,"Beverly, MA",0.1808
25025040801,"Charlestown, Boston, MA",0.1803
25009260600,"Haverhill, MA",0.1794
25017312000,"Back Central, Lowell, MA",0.1793
25009260200,"Haverhill, MA",0.179
25009250800,"Lawrence, MA",0.1781
25009205800,"Lynn, MA",0.1779
25009221500,"Gloucester, MA",0.1776
25009206500,"Lynn, MA",0.176
25017311200,"Highlands, Lowell, MA",0.1747
25009206900,"Lynn, MA",0.1743
25025160601,"Chelsea, MA",0.1739
25009205900,"Lynn, MA",0.1738
25009207200,"Lynn, MA",0.1733
25025050101,"Eagle Hill, Boston, MA",0.1705
33015063002,"Seabrook, NH",0.1702
25009251700,"Lawrence, MA",0.1701
25017311300,"Highlands, Lowell, MA",0.1698
25017311800,"Highlands, Lowell, MA",0.1695
25009267101,"Salisbury, MA",0.169
25025050901,"Eagle Hill, Boston, MA",0.1679
25009261000,"Haverhill, MA",0.1676
25009221400,"Gloucester, MA",0.1676
25009251600,"Lawrence, MA",0.1667
25017310300,"Centralville, Lowell, MA",0.1662
25009221600,"Gloucester, MA",0.1593
25009206600,"Lynn, MA",0.1562
25017311700,"Highlands, Lowell, MA",0.1561
33015003500,"Derry, Derry, NH",0.1552
25009251500,"Lawrence, MA",0.1546
25017312400,"Belvidere, Lowell, MA",0.1537
25009250300,"Lawrence, MA",0.1526
25017312100,"South Lowell, Lowell, MA",0.1518
25017310100,"Downtown, Lowell, MA",0.1508
